,vid-vid mean similarity,text-vid mean similarity
awards ceremony,59.672047,5.9417357
babysitting,55.318672,4.8779597
basketball game,63.982292,5.9769864
beauty salon service,54.987865,4.853553
bike lesson,56.4359,5.628138
car racing pitstop,57.02655,4.8620877
dining,56.219143,5.026926
drive-thru ordering,55.39933,5.4939375
field sobriety test,55.840496,5.7019
firefighting,56.89131,5.650989
frisbee game,61.271408,6.1251826
haircut,55.12547,4.9848113
marriage proposal,57.01121,5.782733
medical injection,53.724873,5.5268655
physical therapy,54.906757,5.6346617
piano lesson,57.212357,5.45755
reception service,55.903934,5.1057615
security screening,55.426704,4.7050076
soccer game,58.575825,5.726179
table tennis game,59.60983,6.4872403
